question,answer,verdict_code,verdict_raw,reasoning,raw_output
What attack techniques are used by software 'S0443: MESSAGETAP'?,"The attack techniques used by software 'S0443: MESSAGETAP' are: 'T1040: Network Sniffing', 'T1049: System Network Connections Discovery', 'T1070.004: File Deletion', 'T1074.001: Local Data Staging', 'T1083: File and Directory Discovery', 'T1119: Automated Collection', 'T1140: Deobfuscate/Decode Files or Information', 'T1560.003: Archive via Custom Method'",0,no,"The answer provides a list of attack techniques used by the software 'S0443: MESSAGETAP', which directly addresses the question. However, it does not provide any context or explanation about why these techniques are relevant to the software or how they are used.","{
  ""reasoning"": ""The answer provides a list of attack techniques used by the software 'S0443: MESSAGETAP', which directly addresses the question. However, it does not provide any context or explanation about why these techniques are relevant to the software or how they are used."",
  ""verdict"": ""no""
}"
What software are used by attack group 'G0136: IndigoZebra'?,"The software used by attack group 'G0136: IndigoZebra' are: 'S0012: PoisonIvy', 'S0651: BoxCaon', 'S0653: xCaon'",0,no,"The answer correctly lists the software used by the attack group 'G0136: IndigoZebra'. However, it does not provide any additional context or explanation about these software tools, which could be relevant for a more comprehensive answer.","{
  ""reasoning"": ""The answer correctly lists the software used by the attack group 'G0136: IndigoZebra'. However, it does not provide any additional context or explanation about these software tools, which could be relevant for a more comprehensive answer."",
  ""verdict"": ""no""
}"
What attack groups used software 'S1026: Mongall'?,The attack groups that used software 'S1026: Mongall' were: 'G1007: Aoqin Dragon',0,no,"The answer correctly identifies one attack group that used the software 'S1026: Mongall'. However, it does not address whether there were other attack groups that also used this software, which is implied by the question's phrasing 'What attack groups used...'.","{
  ""reasoning"": ""The answer correctly identifies one attack group that used the software 'S1026: Mongall'. However, it does not address whether there were other attack groups that also used this software, which is implied by the question's phrasing 'What attack groups used...'."",
  ""verdict"": ""no""
}"
What attack groups used software 'S1018: Saint Bot'?,The attack groups that used software 'S1018: Saint Bot' were: 'G1003: Ember Bear',0,no,"The answer correctly identifies one of the attack groups that used the software 'S1018: Saint Bot'. However, it does not address whether there were other attack groups that also used this software, which is implied by the question's phrasing 'What attack groups used...'.","{
  ""reasoning"": ""The answer correctly identifies one of the attack groups that used the software 'S1018: Saint Bot'. However, it does not address whether there were other attack groups that also used this software, which is implied by the question's phrasing 'What attack groups used...'."",
  ""verdict"": ""no""
}"
What attack techniques are used by attack group 'G0129: Mustang Panda'?,"The attack techniques used by attack group 'G0129: Mustang Panda' are: 'T1003.003: NTDS', 'T1016: System Network Configuration Discovery', 'T1027.001: Binary Padding', 'T1027: Obfuscated Files or Information', 'T1036.005: Match Legitimate Name or Location', 'T1036.007: Double File Extension', 'T1047: Windows Management Instrumentation', 'T1049: System Network Connections Discovery', 'T1052.001: Exfiltration over USB', 'T1053.005: Scheduled Task', 'T1057: Process Discovery', 'T1059.001: PowerShell', 'T1059.003: Windows Command Shell', 'T1059.005: Visual Basic', 'T1070.004: File Deletion', 'T1071.001: Web Protocols', 'T1074.001: Local Data Staging', 'T1082: System Information Discovery', 'T1083: File and Directory Discovery', 'T1091: Replication Through Removable Media', 'T1102: Web Service', 'T1105: Ingress Tool Transfer', 'T1119: Automated Collection', 'T1203: Exploitation for Client Execution', 'T1204.001: Malicious Link', 'T1204.002: Malicious File', 'T1218.004: InstallUtil', 'T1218.005: Mshta', 'T1219: Remote Access Software', 'T1518: Software Discovery', 'T1546.003: Windows Management Instrumentation Event Subscription', 'T1547.001: Registry Run Keys / Startup Folder', 'T1560.001: Archive via Utility', 'T1560.003: Archive via Custom Method', 'T1564.001: Hidden Files and Directories', 'T1566.001: Spearphishing Attachment', 'T1566.002: Spearphishing Link', 'T1573.001: Symmetric Cryptography', 'T1574.002: DLL Side-Loading', 'T1583.001: Domains', 'T1585.002: Email Accounts', 'T1598.003: Spearphishing Link', 'T1608.001: Upload Malware', 'T1608: Stage Capabilities'",2,yes,"The answer provides a comprehensive list of attack techniques associated with 'G0129: Mustang Panda', which is relevant and complete. However, it does not provide any context or explanation about these techniques, which could be useful for a more thorough understanding.","{
  ""reasoning"": ""The answer provides a comprehensive list of attack techniques associated with 'G0129: Mustang Panda', which is relevant and complete. However, it does not provide any context or explanation about these techniques, which could be useful for a more thorough understanding."",
  ""verdict"": ""yes""
}"
What is the parent technique of attack technique 'T1583.008: Acquire Infrastructure: Malvertising'?,The parent technique of attack technique 'T1583.008: Acquire Infrastructure: Malvertising' is 'T1583: Acquire Infrastructure',2,yes,The answer correctly identifies the parent technique of 'T1583.008: Acquire Infrastructure: Malvertising' as 'T1583: Acquire Infrastructure'. It directly addresses the question without any contradictions or additional irrelevant information.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique of 'T1583.008: Acquire Infrastructure: Malvertising' as 'T1583: Acquire Infrastructure'. It directly addresses the question without any contradictions or additional irrelevant information."",
  ""verdict"": ""yes""
}"
Which tactics are used in attack technique 'T1484: Domain or Tenant Policy Modification'? Name them all,"2 tactics are used in attack technique 'T1484: Domain or Tenant Policy Modification'. They are: Defense Evasion, Privilege Escalation",0,no,"The answer correctly identifies the number of tactics and names two of them, but it does not provide a complete list as the question asks for all tactics used in the attack technique.","{
  ""reasoning"": ""The answer correctly identifies the number of tactics and names two of them, but it does not provide a complete list as the question asks for all tactics used in the attack technique."",
  ""verdict"": ""no""
}"
What attack techniques are used by software 'S0636: VaporRage'?,"The attack techniques used by software 'S0636: VaporRage' are: 'T1071.001: Web Protocols', 'T1105: Ingress Tool Transfer', 'T1140: Deobfuscate/Decode Files or Information', 'T1480: Execution Guardrails'",0,no,"The answer correctly lists several attack techniques used by the software 'S0636: VaporRage'. However, it does not provide any context or explanation about what these techniques mean or how they are applied, which could be relevant for a full understanding of the attack methods.","{
  ""reasoning"": ""The answer correctly lists several attack techniques used by the software 'S0636: VaporRage'. However, it does not provide any context or explanation about what these techniques mean or how they are applied, which could be relevant for a full understanding of the attack methods."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1505.002: Server Software Component: Transport Agent'?,The parent technique of attack technique 'T1505.002: Server Software Component: Transport Agent' is 'T1505: Server Software Component',2,yes,"The answer correctly identifies the parent technique of the given attack technique, which is accurate and directly addresses the question.","{
  ""reasoning"": ""The answer correctly identifies the parent technique of the given attack technique, which is accurate and directly addresses the question."",
  ""verdict"": ""yes""
}"
What attack techniques are used by software 'S0451: LoudMiner'?,"The attack techniques used by software 'S0451: LoudMiner' are: 'T1016: System Network Configuration Discovery', 'T1027.010: Command Obfuscation', 'T1027.013: Encrypted/Encoded File', 'T1057: Process Discovery', 'T1059.003: Windows Command Shell', 'T1059.004: Unix Shell', 'T1070.004: File Deletion', 'T1082: System Information Discovery', 'T1105: Ingress Tool Transfer', 'T1189: Drive-by Compromise', 'T1218.007: Msiexec', 'T1496: Resource Hijacking', 'T1543.003: Windows Service', 'T1543.004: Launch Daemon', 'T1564.001: Hidden Files and Directories', 'T1564.006: Run Virtual Instance', 'T1569.001: Launchctl', 'T1569.002: Service Execution'",2,yes,"The answer provides a comprehensive list of attack techniques used by 'S0451: LoudMiner', which are all relevant and directly address the question. The techniques listed are specific and detailed, indicating a thorough understanding of the attack methods.","{
  ""reasoning"": ""The answer provides a comprehensive list of attack techniques used by 'S0451: LoudMiner', which are all relevant and directly address the question. The techniques listed are specific and detailed, indicating a thorough understanding of the attack methods."",
  ""verdict"": ""yes""
}"
What attack groups used software 'S0560: TEARDROP'?,The attack groups that used software 'S0560: TEARDROP' were: 'G0016: APT29',0,no,"The answer correctly identifies one of the attack groups that used the TEARDROP attack software, but it does not provide a complete list and does not specify that TEARDROP is a type of attack rather than a software name.","{
  ""reasoning"": ""The answer correctly identifies one of the attack groups that used the TEARDROP attack software, but it does not provide a complete list and does not specify that TEARDROP is a type of attack rather than a software name."",
  ""verdict"": ""no""
}"
Which tactics are used in attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'? Name them all,"2 tactics are used in attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'. They are: Persistence, Privilege Escalation",0,no,"The answer correctly identifies the number of tactics and names them, but it does not provide the specific tactics used in the attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'.","{
  ""reasoning"": ""The answer correctly identifies the number of tactics and names them, but it does not provide the specific tactics used in the attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'."",
  ""verdict"": ""no""
}"
What software procedures use attack technique 'T1114: Email Collection'?,The software procedures that use attack technique 'T1114: Email Collection' are: 'S0367: Emotet',0,no,"The answer is partially correct as it identifies one piece of malware (Emotet) that uses the 'T1114: Email Collection' technique. However, it does not address whether other software procedures or techniques might also use this attack method, which is implied by the question.","{
  ""reasoning"": ""The answer is partially correct as it identifies one piece of malware (Emotet) that uses the 'T1114: Email Collection' technique. However, it does not address whether other software procedures or techniques might also use this attack method, which is implied by the question."",
  ""verdict"": ""no""
}"
How many data components can be used to detect attack technique 'T1584.008: Compromise Infrastructure: Network Devices'? Name them all.,The following 1 data components can be used to detect attack technique 'T1584.008: Compromise Infrastructure: Network Devices': Response Content,0,no,The answer incorrectly states that only one data component can be used and provides an incorrect example (Response Content) which is not relevant to the detection of the specified attack technique.,"{
  ""reasoning"": ""The answer incorrectly states that only one data component can be used and provides an incorrect example (Response Content) which is not relevant to the detection of the specified attack technique."",
  ""verdict"": ""no""
}"
How many data components can be used to detect attack technique 'T1600: Weaken Encryption'? Name them all.,The following 1 data components can be used to detect attack technique 'T1600: Weaken Encryption': File Modification,0,no,"The answer is incomplete as it only mentions one data component (File Modification) but does not name all possible data components. The question asks to name all data components, which implies there could be more than one.","{
  ""reasoning"": ""The answer is incomplete as it only mentions one data component (File Modification) but does not name all possible data components. The question asks to name all data components, which implies there could be more than one."",
  ""verdict"": ""no""
}"
How many mitigation strategies can be used against attack technique 'T1046: Network Service Discovery'? Name them all.,"The following 3 mitigation strategies mitigate attack technique 'T1046: Network Service Discovery': M1042: Disable or Remove Feature or Program, M1031: Network Intrusion Prevention, M1030: Network Segmentation",0,no,"The answer correctly lists three mitigation strategies for the given attack technique. However, it does not explicitly state that these are the only mitigation strategies, and it does not provide a complete list as the question asks for 'all' mitigation strategies.","{
  ""reasoning"": ""The answer correctly lists three mitigation strategies for the given attack technique. However, it does not explicitly state that these are the only mitigation strategies, and it does not provide a complete list as the question asks for 'all' mitigation strategies."",
  ""verdict"": ""no""
}"
Which tactics are used in attack technique 'T1598.004: Phishing for Information: Spearphishing Voice'? Name them all,1 tactic is used in attack technique 'T1598.004: Phishing for Information: Spearphishing Voice'. It is: Reconnaissance,0,no,"The answer is incomplete as it only mentions one tactic (Reconnaissance) but does not list all the tactics used in the attack technique 'T1598.004: Phishing for Information: Spearphishing Voice'. The question asks to name all the tactics, and this answer does not provide a comprehensive list.","{
  ""reasoning"": ""The answer is incomplete as it only mentions one tactic (Reconnaissance) but does not list all the tactics used in the attack technique 'T1598.004: Phishing for Information: Spearphishing Voice'. The question asks to name all the tactics, and this answer does not provide a comprehensive list."",
  ""verdict"": ""no""
}"
What attack groups used software 'S0579: Waterbear'?,The attack groups that used software 'S0579: Waterbear' were: 'G0098: BlackTech',0,no,"The answer correctly identifies one of the attack groups that used the software 'S0579: Waterbear', but it fails to address whether there were other groups that also used this software.","{
  ""reasoning"": ""The answer correctly identifies one of the attack groups that used the software 'S0579: Waterbear', but it fails to address whether there were other groups that also used this software."",
  ""verdict"": ""no""
}"
How many mitigation strategies can be used against attack technique 'T1482: Domain Trust Discovery'? Name them all.,"The following 2 mitigation strategies mitigate attack technique 'T1482: Domain Trust Discovery': M1047: Audit, M1030: Network Segmentation",0,no,"The answer correctly identifies two mitigation strategies for the given attack technique. However, it does not explicitly state that these are the only two strategies, and it does not provide a complete list as the question asks for 'all' mitigation strategies.","{
  ""reasoning"": ""The answer correctly identifies two mitigation strategies for the given attack technique. However, it does not explicitly state that these are the only two strategies, and it does not provide a complete list as the question asks for 'all' mitigation strategies."",
  ""verdict"": ""no""
}"
Which tactics are used in attack technique 'T1036.008: Masquerading: Masquerade File Type'? Name them all,1 tactic is used in attack technique 'T1036.008: Masquerading: Masquerade File Type'. It is: Defense Evasion,0,no,"The answer is incomplete as it only mentions one tactic (Defense Evasion) without listing all the tactics used in the attack technique 'T1036.008: Masquerading: Masquerade File Type'. The question asks to name all tactics, which this answer does not fully address.","{
  ""reasoning"": ""The answer is incomplete as it only mentions one tactic (Defense Evasion) without listing all the tactics used in the attack technique 'T1036.008: Masquerading: Masquerade File Type'. The question asks to name all tactics, which this answer does not fully address."",
  ""verdict"": ""no""
}"
What attack techniques are used by software 'S0520: BLINDINGCAN'?,"The attack techniques used by software 'S0520: BLINDINGCAN' are: 'T1005: Data from Local System', 'T1016: System Network Configuration Discovery', 'T1027.002: Software Packing', 'T1027.013: Encrypted/Encoded File', 'T1036.005: Match Legitimate Name or Location', 'T1041: Exfiltration Over C2 Channel', 'T1059.003: Windows Command Shell', 'T1070.004: File Deletion', 'T1070.006: Timestomp', 'T1071.001: Web Protocols', 'T1082: System Information Discovery', 'T1083: File and Directory Discovery', 'T1105: Ingress Tool Transfer', 'T1129: Shared Modules', 'T1132.001: Standard Encoding', 'T1140: Deobfuscate/Decode Files or Information', 'T1204.002: Malicious File', 'T1218.011: Rundll32', 'T1553.002: Code Signing', 'T1566.001: Spearphishing Attachment', 'T1573.001: Symmetric Cryptography'",0,no,"The answer provides a list of attack techniques associated with the software 'S0520: BLINDINGCAN', which directly addresses the question. However, it does not provide any context or explanation about what these techniques mean or how they are used in the context of the software.","{
  ""reasoning"": ""The answer provides a list of attack techniques associated with the software 'S0520: BLINDINGCAN', which directly addresses the question. However, it does not provide any context or explanation about what these techniques mean or how they are used in the context of the software."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1606.002: Forge Web Credentials: SAML Tokens'?,The parent technique of attack technique 'T1606.002: Forge Web Credentials: SAML Tokens' is 'T1606: Forge Web Credentials',2,yes,"The answer correctly identifies the parent technique of the given attack technique, which is 'T1606: Forge Web Credentials'. It directly addresses the question without any contradictions or additional irrelevant information.","{
  ""reasoning"": ""The answer correctly identifies the parent technique of the given attack technique, which is 'T1606: Forge Web Credentials'. It directly addresses the question without any contradictions or additional irrelevant information."",
  ""verdict"": ""yes""
}"
What campaigns used attack technique 'T1027.002: Software Packing'?,"The campaigns that used attack technique 'T1027.002: Software Packing' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0016: Operation Dust Storm', 'C0017: C0017', 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'",2,yes,"The answer provides a list of campaigns that used the specified attack technique, which directly addresses the question. The information is factual and relevant.","{
  ""reasoning"": ""The answer provides a list of campaigns that used the specified attack technique, which directly addresses the question. The information is factual and relevant."",
  ""verdict"": ""yes""
}"
Which tactics are used in attack technique 'T1593: Search Open Websites/Domains'? Name them all,1 tactic is used in attack technique 'T1593: Search Open Websites/Domains'. It is: Reconnaissance,0,no,"The answer correctly identifies one of the tactics used in the attack technique 'T1593: Search Open Websites/Domains', which is reconnaissance. However, it does not mention that there is only one tactic used and it does not explicitly name the tactic as 'Reconnaissance'.","{
  ""reasoning"": ""The answer correctly identifies one of the tactics used in the attack technique 'T1593: Search Open Websites/Domains', which is reconnaissance. However, it does not mention that there is only one tactic used and it does not explicitly name the tactic as 'Reconnaissance'."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1564.002: Hide Artifacts: Hidden Users'?,The parent technique of attack technique 'T1564.002: Hide Artifacts: Hidden Users' is 'T1564: Hide Artifacts',2,yes,The answer correctly identifies the parent technique of 'T1564.002: Hide Artifacts: Hidden Users' as 'T1564: Hide Artifacts'. It directly addresses the question without any contradictions or additional irrelevant information.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique of 'T1564.002: Hide Artifacts: Hidden Users' as 'T1564: Hide Artifacts'. It directly addresses the question without any contradictions or additional irrelevant information."",
  ""verdict"": ""yes""
}"
What is the parent technique of attack technique 'T1596.003: Search Open Technical Databases: Digital Certificates'?,The parent technique of attack technique 'T1596.003: Search Open Technical Databases: Digital Certificates' is 'T1596: Search Open Technical Databases',2,yes,The answer correctly identifies the parent technique of the given attack technique. It directly addresses the question without any contradictions or additional irrelevant information.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique of the given attack technique. It directly addresses the question without any contradictions or additional irrelevant information."",
  ""verdict"": ""yes""
}"
How many data components can be used to detect attack technique 'T1021.007: Remote Services: Cloud Services'? Name them all.,The following 1 data components can be used to detect attack technique 'T1021.007: Remote Services: Cloud Services': Logon Session Creation,0,no,"The answer incorrectly states that only one data component can be used, while the question asks to name all of them. Additionally, 'Logon Session Creation' is not a data component but rather an action that might be logged.","{
  ""reasoning"": ""The answer incorrectly states that only one data component can be used, while the question asks to name all of them. Additionally, 'Logon Session Creation' is not a data component but rather an action that might be logged."",
  ""verdict"": ""no""
}"
What campaigns used software 'S0614: CostaBricks'?,The campaigns that used software 'S0614: CostaBricks' were: 'C0004: CostaRicto',0,no,"The answer provides one campaign name that used the software 'S0614: CostaBricks', but it does not address whether there were other campaigns that used this software. The question asks for all campaigns, so the answer is incomplete.","{
  ""reasoning"": ""The answer provides one campaign name that used the software 'S0614: CostaBricks', but it does not address whether there were other campaigns that used this software. The question asks for all campaigns, so the answer is incomplete."",
  ""verdict"": ""no""
}"
