question,answer,verdict_code,verdict_raw,reasoning,raw_output
What attack techniques are used by software 'S0443: MESSAGETAP'?,"The attack techniques used by software 'S0443: MESSAGETAP' are: 'T1040: Network Sniffing', 'T1049: System Network Connections Discovery', 'T1070.004: File Deletion', 'T1074.001: Local Data Staging', 'T1083: File and Directory Discovery', 'T1119: Automated Collection', 'T1140: Deobfuscate/Decode Files or Information', 'T1560.003: Archive via Custom Method'",0,no,"The answer provides a list of attack techniques associated with the software 'S0443: MESSAGETAP', but it does not explain how these techniques are used or their implications.","{
  ""reasoning"": ""The answer provides a list of attack techniques associated with the software 'S0443: MESSAGETAP', but it does not explain how these techniques are used or their implications."",
  ""verdict"": ""no""
}"
What software are used by attack group 'G0136: IndigoZebra'?,"The software used by attack group 'G0136: IndigoZebra' are: 'S0012: PoisonIvy', 'S0651: BoxCaon', 'S0653: xCaon'",2,yes,"The answer provides a list of software associated with the specified attack group, which is relevant to the question. However, it does not provide any context or explanation about the software or the group.","{
  ""reasoning"": ""The answer provides a list of software associated with the specified attack group, which is relevant to the question. However, it does not provide any context or explanation about the software or the group."",
  ""verdict"": ""yes""
}"
What attack groups used software 'S1026: Mongall'?,The attack groups that used software 'S1026: Mongall' were: 'G1007: Aoqin Dragon',2,yes,The answer provides the correct information regarding the attack groups that used the software 'S1026: Mongall'. It directly addresses the question without contradictions or additional irrelevant information.,"{
  ""reasoning"": ""The answer provides the correct information regarding the attack groups that used the software 'S1026: Mongall'. It directly addresses the question without contradictions or additional irrelevant information."",
  ""verdict"": ""yes""
}"
What attack groups used software 'S1018: Saint Bot'?,The attack groups that used software 'S1018: Saint Bot' were: 'G1003: Ember Bear',0,no,"The answer provides a specific group that used the software, but it does not list all groups or provide additional context about the software or the groups.","{
  ""reasoning"": ""The answer provides a specific group that used the software, but it does not list all groups or provide additional context about the software or the groups."",
  ""verdict"": ""no""
}"
What attack techniques are used by attack group 'G0129: Mustang Panda'?,"The attack techniques used by attack group 'G0129: Mustang Panda' are: 'T1003.003: NTDS', 'T1016: System Network Configuration Discovery', 'T1027.001: Binary Padding', 'T1027: Obfuscated Files or Information', 'T1036.005: Match Legitimate Name or Location', 'T1036.007: Double File Extension', 'T1047: Windows Management Instrumentation', 'T1049: System Network Connections Discovery', 'T1052.001: Exfiltration over USB', 'T1053.005: Scheduled Task', 'T1057: Process Discovery', 'T1059.001: PowerShell', 'T1059.003: Windows Command Shell', 'T1059.005: Visual Basic', 'T1070.004: File Deletion', 'T1071.001: Web Protocols', 'T1074.001: Local Data Staging', 'T1082: System Information Discovery', 'T1083: File and Directory Discovery', 'T1091: Replication Through Removable Media', 'T1102: Web Service', 'T1105: Ingress Tool Transfer', 'T1119: Automated Collection', 'T1203: Exploitation for Client Execution', 'T1204.001: Malicious Link', 'T1204.002: Malicious File', 'T1218.004: InstallUtil', 'T1218.005: Mshta', 'T1219: Remote Access Software', 'T1518: Software Discovery', 'T1546.003: Windows Management Instrumentation Event Subscription', 'T1547.001: Registry Run Keys / Startup Folder', 'T1560.001: Archive via Utility', 'T1560.003: Archive via Custom Method', 'T1564.001: Hidden Files and Directories', 'T1566.001: Spearphishing Attachment', 'T1566.002: Spearphishing Link', 'T1573.001: Symmetric Cryptography', 'T1574.002: DLL Side-Loading', 'T1583.001: Domains', 'T1585.002: Email Accounts', 'T1598.003: Spearphishing Link', 'T1608.001: Upload Malware', 'T1608: Stage Capabilities'",0,no,"The answer provides a list of attack techniques used by the specified attack group, which is relevant and directly addresses the question. However, it lacks an explanation or context about the techniques.","{
  ""reasoning"": ""The answer provides a list of attack techniques used by the specified attack group, which is relevant and directly addresses the question. However, it lacks an explanation or context about the techniques."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1583.008: Acquire Infrastructure: Malvertising'?,The parent technique of attack technique 'T1583.008: Acquire Infrastructure: Malvertising' is 'T1583: Acquire Infrastructure',2,yes,The answer correctly identifies the parent technique by providing the full name 'T1583: Acquire Infrastructure' and specifies the version 'T1583.008'. It also correctly refers to the parent technique as 'Acquire Infrastructure'.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique by providing the full name 'T1583: Acquire Infrastructure' and specifies the version 'T1583.008'. It also correctly refers to the parent technique as 'Acquire Infrastructure'."",
  ""verdict"": ""yes""
}"
Which tactics are used in attack technique 'T1484: Domain or Tenant Policy Modification'? Name them all,"2 tactics are used in attack technique 'T1484: Domain or Tenant Policy Modification'. They are: Defense Evasion, Privilege Escalation",0,no,"The answer provides the correct number of tactics used in the specified attack technique and names one of them (Defense Evasion), but it does not name the second tactic.","{
  ""reasoning"": ""The answer provides the correct number of tactics used in the specified attack technique and names one of them (Defense Evasion), but it does not name the second tactic."",
  ""verdict"": ""no""
}"
What attack techniques are used by software 'S0636: VaporRage'?,"The attack techniques used by software 'S0636: VaporRage' are: 'T1071.001: Web Protocols', 'T1105: Ingress Tool Transfer', 'T1140: Deobfuscate/Decode Files or Information', 'T1480: Execution Guardrails'",0,no,"The answer provides a list of attack techniques associated with the software 'S0636: VaporRage', but it does not explain what these techniques entail.","{
  ""reasoning"": ""The answer provides a list of attack techniques associated with the software 'S0636: VaporRage', but it does not explain what these techniques entail."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1505.002: Server Software Component: Transport Agent'?,The parent technique of attack technique 'T1505.002: Server Software Component: Transport Agent' is 'T1505: Server Software Component',2,yes,The answer correctly identifies the parent technique as 'T1505: Server Software Component' and specifies the version 'T1505.002'. It provides a clear and concise response.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique as 'T1505: Server Software Component' and specifies the version 'T1505.002'. It provides a clear and concise response."",
  ""verdict"": ""yes""
}"
What attack techniques are used by software 'S0451: LoudMiner'?,"The attack techniques used by software 'S0451: LoudMiner' are: 'T1016: System Network Configuration Discovery', 'T1027.010: Command Obfuscation', 'T1027.013: Encrypted/Encoded File', 'T1057: Process Discovery', 'T1059.003: Windows Command Shell', 'T1059.004: Unix Shell', 'T1070.004: File Deletion', 'T1082: System Information Discovery', 'T1105: Ingress Tool Transfer', 'T1189: Drive-by Compromise', 'T1218.007: Msiexec', 'T1496: Resource Hijacking', 'T1543.003: Windows Service', 'T1543.004: Launch Daemon', 'T1564.001: Hidden Files and Directories', 'T1564.006: Run Virtual Instance', 'T1569.001: Launchctl', 'T1569.002: Service Execution'",2,yes,"The answer provides a list of MITRE ATT&CK techniques associated with the software 'S0451: LoudMiner'. It is factually accurate, relevant, and addresses all parts of the question.","{
  ""reasoning"": ""The answer provides a list of MITRE ATT&CK techniques associated with the software 'S0451: LoudMiner'. It is factually accurate, relevant, and addresses all parts of the question."",
  ""verdict"": ""yes""
}"
What attack groups used software 'S0560: TEARDROP'?,The attack groups that used software 'S0560: TEARDROP' were: 'G0016: APT29',1,uncertain,The answer provides a specific group name but lacks context about the software's usage or any other related information.,"{
  ""reasoning"": ""The answer provides a specific group name but lacks context about the software's usage or any other related information."",
  ""verdict"": ""uncertain""
}"
Which tactics are used in attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'? Name them all,"2 tactics are used in attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'. They are: Persistence, Privilege Escalation",0,no,"The answer provides the number of tactics used and names one of them correctly. However, it does not specify both tactics as requested in the question.","{
  ""reasoning"": ""The answer provides the number of tactics used and names one of them correctly. However, it does not specify both tactics as requested in the question."",
  ""verdict"": ""no""
}"
What software procedures use attack technique 'T1114: Email Collection'?,The software procedures that use attack technique 'T1114: Email Collection' are: 'S0367: Emotet',0,no,"The answer provides a relevant piece of information, identifying Emotet as a software procedure that uses the 'T1114: Email Collection' attack technique. However, it does not provide a comprehensive list and lacks context about other potential software procedures that might use this technique.","{
  ""reasoning"": ""The answer provides a relevant piece of information, identifying Emotet as a software procedure that uses the 'T1114: Email Collection' attack technique. However, it does not provide a comprehensive list and lacks context about other potential software procedures that might use this technique."",
  ""verdict"": ""no""
}"
How many data components can be used to detect attack technique 'T1584.008: Compromise Infrastructure: Network Devices'? Name them all.,The following 1 data components can be used to detect attack technique 'T1584.008: Compromise Infrastructure: Network Devices': Response Content,1,uncertain,The answer provides a single data component but does not specify what it is. It also does not explain how this component is used to detect the attack technique.,"{
  ""reasoning"": ""The answer provides a single data component but does not specify what it is. It also does not explain how this component is used to detect the attack technique."",
  ""verdict"": ""uncertain""
}"
How many data components can be used to detect attack technique 'T1600: Weaken Encryption'? Name them all.,The following 1 data components can be used to detect attack technique 'T1600: Weaken Encryption': File Modification,1,uncertain,"The answer provides a single data component, which is 'File Modification', but does not specify if this is the only one or if there are others. It also does not explain the relevance of 'File Modification' to the detection of 'T1600: Weaken Encryption'.","{
  ""reasoning"": ""The answer provides a single data component, which is 'File Modification', but does not specify if this is the only one or if there are others. It also does not explain the relevance of 'File Modification' to the detection of 'T1600: Weaken Encryption'."",
  ""verdict"": ""uncertain""
}"
How many mitigation strategies can be used against attack technique 'T1046: Network Service Discovery'? Name them all.,"The following 3 mitigation strategies mitigate attack technique 'T1046: Network Service Discovery': M1042: Disable or Remove Feature or Program, M1031: Network Intrusion Prevention, M1030: Network Segmentation",0,no,"The answer provides the correct number of mitigation strategies and lists them, but it does not specify what each strategy entails.","{
  ""reasoning"": ""The answer provides the correct number of mitigation strategies and lists them, but it does not specify what each strategy entails."",
  ""verdict"": ""no""
}"
Which tactics are used in attack technique 'T1598.004: Phishing for Information: Spearphishing Voice'? Name them all,1 tactic is used in attack technique 'T1598.004: Phishing for Information: Spearphishing Voice'. It is: Reconnaissance,0,no,"The answer correctly identifies one tactic used in the specified attack technique. However, it does not specify that there is only one tactic used, which is a requirement of the question.","{
  ""reasoning"": ""The answer correctly identifies one tactic used in the specified attack technique. However, it does not specify that there is only one tactic used, which is a requirement of the question."",
  ""verdict"": ""no""
}"
What attack groups used software 'S0579: Waterbear'?,The attack groups that used software 'S0579: Waterbear' were: 'G0098: BlackTech',1,uncertain,"The answer provides a specific group name but lacks context about the relationship between the group and the software, making it unclear if this is the only group or if more information is needed.","{
  ""reasoning"": ""The answer provides a specific group name but lacks context about the relationship between the group and the software, making it unclear if this is the only group or if more information is needed."",
  ""verdict"": ""uncertain""
}"
How many mitigation strategies can be used against attack technique 'T1482: Domain Trust Discovery'? Name them all.,"The following 2 mitigation strategies mitigate attack technique 'T1482: Domain Trust Discovery': M1047: Audit, M1030: Network Segmentation",0,no,"The answer correctly states the number of mitigation strategies and provides two examples. However, it does not specify if these are the only two strategies or if there could be more.","{
  ""reasoning"": ""The answer correctly states the number of mitigation strategies and provides two examples. However, it does not specify if these are the only two strategies or if there could be more."",
  ""verdict"": ""no""
}"
Which tactics are used in attack technique 'T1036.008: Masquerading: Masquerade File Type'? Name them all,1 tactic is used in attack technique 'T1036.008: Masquerading: Masquerade File Type'. It is: Defense Evasion,0,no,"The answer correctly identifies one tactic used in the specified attack technique, but it fails to mention all tactics used in 'T1036.008: Masquerading: Masquerade File Type'.","{
  ""reasoning"": ""The answer correctly identifies one tactic used in the specified attack technique, but it fails to mention all tactics used in 'T1036.008: Masquerading: Masquerade File Type'."",
  ""verdict"": ""no""
}"
What attack techniques are used by software 'S0520: BLINDINGCAN'?,"The attack techniques used by software 'S0520: BLINDINGCAN' are: 'T1005: Data from Local System', 'T1016: System Network Configuration Discovery', 'T1027.002: Software Packing', 'T1027.013: Encrypted/Encoded File', 'T1036.005: Match Legitimate Name or Location', 'T1041: Exfiltration Over C2 Channel', 'T1059.003: Windows Command Shell', 'T1070.004: File Deletion', 'T1070.006: Timestomp', 'T1071.001: Web Protocols', 'T1082: System Information Discovery', 'T1083: File and Directory Discovery', 'T1105: Ingress Tool Transfer', 'T1129: Shared Modules', 'T1132.001: Standard Encoding', 'T1140: Deobfuscate/Decode Files or Information', 'T1204.002: Malicious File', 'T1218.011: Rundll32', 'T1553.002: Code Signing', 'T1566.001: Spearphishing Attachment', 'T1573.001: Symmetric Cryptography'",0,no,"The answer provides a list of attack techniques associated with the software 'S0520: BLINDINGCAN', but it does not explain how these techniques are used or their implications.","{
  ""reasoning"": ""The answer provides a list of attack techniques associated with the software 'S0520: BLINDINGCAN', but it does not explain how these techniques are used or their implications."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1606.002: Forge Web Credentials: SAML Tokens'?,The parent technique of attack technique 'T1606.002: Forge Web Credentials: SAML Tokens' is 'T1606: Forge Web Credentials',2,yes,The answer correctly identifies the parent technique by specifying 'T1606: Forge Web Credentials' and includes the correct sub-technique 'T1606.002: Forge Web Credentials: SAML Tokens'. It is concise and directly addresses the question.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique by specifying 'T1606: Forge Web Credentials' and includes the correct sub-technique 'T1606.002: Forge Web Credentials: SAML Tokens'. It is concise and directly addresses the question."",
  ""verdict"": ""yes""
}"
What campaigns used attack technique 'T1027.002: Software Packing'?,"The campaigns that used attack technique 'T1027.002: Software Packing' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0016: Operation Dust Storm', 'C0017: C0017', 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'",0,no,"The answer provides a list of campaign names that are supposed to have used the 'T1027.002: Software Packing' attack technique. However, it lacks any explanation or context about these campaigns or how they used the technique.","{
  ""reasoning"": ""The answer provides a list of campaign names that are supposed to have used the 'T1027.002: Software Packing' attack technique. However, it lacks any explanation or context about these campaigns or how they used the technique."",
  ""verdict"": ""no""
}"
Which tactics are used in attack technique 'T1593: Search Open Websites/Domains'? Name them all,1 tactic is used in attack technique 'T1593: Search Open Websites/Domains'. It is: Reconnaissance,0,no,"The answer correctly identifies one tactic used in the specified attack technique. However, it does not specify that there is only one tactic associated with this technique, which is implied but not explicitly stated.","{
  ""reasoning"": ""The answer correctly identifies one tactic used in the specified attack technique. However, it does not specify that there is only one tactic associated with this technique, which is implied but not explicitly stated."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1564.002: Hide Artifacts: Hidden Users'?,The parent technique of attack technique 'T1564.002: Hide Artifacts: Hidden Users' is 'T1564: Hide Artifacts',0,no,"The answer correctly identifies the parent technique but does not specify the name of the parent technique, which is required to fully address the question.","{
  ""reasoning"": ""The answer correctly identifies the parent technique but does not specify the name of the parent technique, which is required to fully address the question."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1596.003: Search Open Technical Databases: Digital Certificates'?,The parent technique of attack technique 'T1596.003: Search Open Technical Databases: Digital Certificates' is 'T1596: Search Open Technical Databases',0,no,The answer correctly identifies the parent technique but does not provide any additional context or explanation.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique but does not provide any additional context or explanation."",
  ""verdict"": ""no""
}"
How many data components can be used to detect attack technique 'T1021.007: Remote Services: Cloud Services'? Name them all.,The following 1 data components can be used to detect attack technique 'T1021.007: Remote Services: Cloud Services': Logon Session Creation,0,no,"The answer provides a single data component relevant to the detection of the specified attack technique, but it does not list all possible components and does not provide a clear explanation of what 'Logon Session Creation' entails in this context.","{
  ""reasoning"": ""The answer provides a single data component relevant to the detection of the specified attack technique, but it does not list all possible components and does not provide a clear explanation of what 'Logon Session Creation' entails in this context."",
  ""verdict"": ""no""
}"
What campaigns used software 'S0614: CostaBricks'?,The campaigns that used software 'S0614: CostaBricks' were: 'C0004: CostaRicto',0,no,"The answer provides a specific campaign name that used the software, but it does not provide any context or explanation about the campaigns or the software.","{
  ""reasoning"": ""The answer provides a specific campaign name that used the software, but it does not provide any context or explanation about the campaigns or the software."",
  ""verdict"": ""no""
}"
How many mitigation strategies can be used against attack technique 'T1659: Content Injection'? Name them all.,"The following 2 mitigation strategies mitigate attack technique 'T1659: Content Injection': M1041: Encrypt Sensitive Information, M1021: Restrict Web-Based Content",0,no,"The answer correctly states the number of mitigation strategies and provides two examples. However, it does not specify if these are the only two strategies or if there could be more.","{
  ""reasoning"": ""The answer correctly states the number of mitigation strategies and provides two examples. However, it does not specify if these are the only two strategies or if there could be more."",
  ""verdict"": ""no""
}"
How many data components can be used to detect attack technique 'T1553.006: Subvert Trust Controls: Code Signing Policy Modification'? Name them all.,"The following 3 data components can be used to detect attack technique 'T1553.006: Subvert Trust Controls: Code Signing Policy Modification': Command Execution, Process Creation, Windows Registry Key Modification",2,yes,The answer provides the correct number of data components and lists them accurately.,"{
  ""reasoning"": ""The answer provides the correct number of data components and lists them accurately."",
  ""verdict"": ""yes""
}"
What attack techniques are used by software 'S0073: ASPXSpy'?,The attack techniques used by software 'S0073: ASPXSpy' are: 'T1505.003: Web Shell',2,yes,"The answer provides a specific attack technique used by the software, which is relevant to the question. However, it does not provide any additional context or details about the software or the technique.","{
  ""reasoning"": ""The answer provides a specific attack technique used by the software, which is relevant to the question. However, it does not provide any additional context or details about the software or the technique."",
  ""verdict"": ""yes""
}"
What attack techniques are used by attack group 'G0052: CopyKittens'?,"The attack techniques used by attack group 'G0052: CopyKittens' are: 'T1059.001: PowerShell', 'T1090: Proxy', 'T1218.011: Rundll32', 'T1553.002: Code Signing', 'T1560.001: Archive via Utility', 'T1560.003: Archive via Custom Method', 'T1564.003: Hidden Window', 'T1588.002: Tool'",0,no,"The answer provides a list of attack techniques used by the specified group, which is relevant to the question. However, it lacks any context or explanation about the techniques themselves.","{
  ""reasoning"": ""The answer provides a list of attack techniques used by the specified group, which is relevant to the question. However, it lacks any context or explanation about the techniques themselves."",
  ""verdict"": ""no""
}"
What is the parent technique of attack technique 'T1574.001: Hijack Execution Flow: DLL Search Order Hijacking'?,The parent technique of attack technique 'T1574.001: Hijack Execution Flow: DLL Search Order Hijacking' is 'T1574: Hijack Execution Flow',2,yes,The answer correctly identifies the parent technique by providing the full name 'T1574: Hijack Execution Flow' instead of just the number. It also specifies that T1574.001 is a sub-technique of T1574.,"{
  ""reasoning"": ""The answer correctly identifies the parent technique by providing the full name 'T1574: Hijack Execution Flow' instead of just the number. It also specifies that T1574.001 is a sub-technique of T1574."",
  ""verdict"": ""yes""
}"
What are the sub-techniques of attack technique 'T1553: Subvert Trust Controls'?,"The sub-techniques of attack technique 'T1553: Subvert Trust Controls' are: 'T1553.001: Subvert Trust Controls: Gatekeeper Bypass', 'T1553.002: Subvert Trust Controls: Code Signing', 'T1553.003: Subvert Trust Controls: SIP and Trust Provider Hijacking', 'T1553.004: Subvert Trust Controls: Install Root Certificate', 'T1553.005: Subvert Trust Controls: Mark-of-the-Web Bypass', 'T1553.006: Subvert Trust Controls: Code Signing Policy Modification'",2,yes,"The answer provides a list of sub-techniques for the specified attack technique, which is factually accurate and relevant. However, it lacks an explanation of what 'T1553' represents, which could be considered incomplete for someone unfamiliar with the context.","{
  ""reasoning"": ""The answer provides a list of sub-techniques for the specified attack technique, which is factually accurate and relevant. However, it lacks an explanation of what 'T1553' represents, which could be considered incomplete for someone unfamiliar with the context."",
  ""verdict"": ""yes""
}"
