question,answer,y_pred,raw_output
What groups used attack technique 'T1595.001: Scanning IP Blocks'?,The groups that used attack technique 'T1595.001: Scanning IP Blocks' are: 'G0139: TeamTNT',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1608.004: Drive-by Target'?,The campaigns that used attack technique 'T1608.004: Drive-by Target' were: 'C0010: C0010',0,"{""verdict"": ""no""}"
What groups used attack technique 'T1020: Automated Exfiltration'?,"The groups that used attack technique 'T1020: Automated Exfiltration' are: 'G0004: Ke3chang', 'G0047: Gamaredon Group', 'G0081: Tropic Trooper', 'G0121: Sidewinder'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1092: Communication Through Removable Media'?,The groups that used attack technique 'T1092: Communication Through Removable Media' are: 'G0007: APT28',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1213.002: Sharepoint'?,The campaigns that used attack technique 'T1213.002: Sharepoint' were: 'C0027: C0027',0,"{""verdict"": ""no""}"
What groups used attack technique 'T1563.002: RDP Hijacking'?,The groups that used attack technique 'T1563.002: RDP Hijacking' are: 'G0001: Axiom',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1560.001: Archive Collected Data: Archive via Utility'?,The parent technique of attack technique 'T1560.001: Archive Collected Data: Archive via Utility' is 'T1560: Archive Collected Data',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1564.001: Hide Artifacts: Hidden Files and Directories'?,The parent technique of attack technique 'T1564.001: Hide Artifacts: Hidden Files and Directories' is 'T1564: Hide Artifacts',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1003.006: OS Credential Dumping: DCSync'?,The parent technique of attack technique 'T1003.006: OS Credential Dumping: DCSync' is 'T1003: OS Credential Dumping',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1204.002: User Execution: Malicious File'?,The parent technique of attack technique 'T1204.002: User Execution: Malicious File' is 'T1204: User Execution',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1546.014: Event Triggered Execution: Emond'?,The parent technique of attack technique 'T1546.014: Event Triggered Execution: Emond' is 'T1546: Event Triggered Execution',2,"{""verdict"": ""yes""}"
What software are used by attack group 'G0129: Mustang Panda'?,"The software used by attack group 'G0129: Mustang Panda' are: 'S0012: PoisonIvy', 'S0013: PlugX', 'S0154: Cobalt Strike', 'S0590: NBTscan', 'S0662: RCSession'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles'?,The parent technique of attack technique 'T1098.003: Account Manipulation: Additional Cloud Roles' is 'T1098: Account Manipulation',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1027.005: Indicator Removal from Tools'?,"The campaigns that used attack technique 'T1027.005: Indicator Removal from Tools' were: 'C0014: Operation Wocao', 'C0030: Triton Safety Instrumented System Attack'",1,"{""verdict"": ""uncertain""}"
What software are used by attack group 'G0051: FIN10'?,The software used by attack group 'G0051: FIN10' are: 'S0363: Empire',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1608.002: Stage Capabilities: Upload Tool'?,The parent technique of attack technique 'T1608.002: Stage Capabilities: Upload Tool' is 'T1608: Stage Capabilities',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1505.005: Server Software Component: Terminal Services DLL'?,The parent technique of attack technique 'T1505.005: Server Software Component: Terminal Services DLL' is 'T1505: Server Software Component',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1059.004: Command and Scripting Interpreter: Unix Shell'?,The parent technique of attack technique 'T1059.004: Command and Scripting Interpreter: Unix Shell' is 'T1059: Command and Scripting Interpreter',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1555.006: Credentials from Password Stores: Cloud Secrets Management Stores'?,The parent technique of attack technique 'T1555.006: Credentials from Password Stores: Cloud Secrets Management Stores' is 'T1555: Credentials from Password Stores',2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1608.003: Stage Capabilities: Install Digital Certificate'?,The parent technique of attack technique 'T1608.003: Stage Capabilities: Install Digital Certificate' is 'T1608: Stage Capabilities',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1567: Exfiltration Over Web Service'?,The campaigns that used attack technique 'T1567: Exfiltration Over Web Service' were: 'C0017: C0017',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1069.002: Permission Groups Discovery: Domain Groups'?,The parent technique of attack technique 'T1069.002: Permission Groups Discovery: Domain Groups' is 'T1069: Permission Groups Discovery',2,"{""verdict"": ""yes""}"
What software are used by attack group 'G0054: Sowbug'?,"The software used by attack group 'G0054: Sowbug' are: 'S0171: Felismus', 'S0188: Starloader'",1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1587.003: Digital Certificates'?,The campaigns that used attack technique 'T1587.003: Digital Certificates' were: 'C0011: C0011',0,"{""verdict"": ""no""}"
What is the parent technique of attack technique 'T1003.003: OS Credential Dumping: NTDS'?,The parent technique of attack technique 'T1003.003: OS Credential Dumping: NTDS' is 'T1003: OS Credential Dumping',2,"{""verdict"": ""yes""}"
What software are used by attack group 'G1023: APT5'?,"The software used by attack group 'G1023: APT5' are: 'S0002: Mimikatz', 'S0007: Skeleton Key', 'S0012: PoisonIvy', 'S0032: gh0st RAT', 'S0039: Net', 'S0057: Tasklist', 'S0104: netstat', 'S1050: PcShare', 'S1104: SLOWPULSE', 'S1108: PULSECHECK', 'S1109: PACEMAKER', 'S1110: SLIGHTPULSE', 'S1113: RAPIDPULSE'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1591.001: Gather Victim Org Information: Determine Physical Locations'?,The parent technique of attack technique 'T1591.001: Gather Victim Org Information: Determine Physical Locations' is 'T1591: Gather Victim Org Information',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1014: Rootkit'?,"The groups that used attack technique 'T1014: Rootkit' are: 'G0007: APT28', 'G0044: Winnti Group', 'G0096: APT41', 'G0106: Rocke', 'G0139: TeamTNT'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1587.002: Develop Capabilities: Code Signing Certificates'?,The parent technique of attack technique 'T1587.002: Develop Capabilities: Code Signing Certificates' is 'T1587: Develop Capabilities',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1568: Dynamic Resolution'?,"The groups that used attack technique 'T1568: Dynamic Resolution' are: 'G0016: APT29', 'G0047: Gamaredon Group', 'G0134: Transparent Tribe', 'G1002: BITTER', 'G1018: TA2541'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1199: Trusted Relationship'?,"The groups that used attack technique 'T1199: Trusted Relationship' are: 'G0007: APT28', 'G0016: APT29', 'G0027: Threat Group-3390', 'G0034: Sandworm Team', 'G0045: menuPass', 'G0115: GOLD SOUTHFIELD', 'G1004: LAPSUS$', 'G1005: POLONIUM'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1499.002: Endpoint Denial of Service: Service Exhaustion Flood'?,The parent technique of attack technique 'T1499.002: Endpoint Denial of Service: Service Exhaustion Flood' is 'T1499: Endpoint Denial of Service',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1204.003: Malicious Image'?,The groups that used attack technique 'T1204.003: Malicious Image' are: 'G0139: TeamTNT',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1218.010: Regsvr32'?,"The campaigns that used attack technique 'T1218.010: Regsvr32' were: 'C0015: C0015', 'C0022: Operation Dream Job'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1573.001: Symmetric Cryptography'?,"The groups that used attack technique 'T1573.001: Symmetric Cryptography' are: 'G0007: APT28', 'G0012: Darkhotel', 'G0032: Lazarus Group', 'G0038: Stealth Falcon', 'G0060: BRONZE BUTLER', 'G0064: APT33', 'G0069: MuddyWater', 'G0100: Inception', 'G0126: Higaisa', 'G0128: ZIRCONIUM', 'G0129: Mustang Panda', 'G1017: Volt Typhoon'",2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1036.008: Masquerade File Type'?,"The campaigns that used attack technique 'T1036.008: Masquerade File Type' were: 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'",2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1087.004: Cloud Account'?,The campaigns that used attack technique 'T1087.004: Cloud Account' were: 'C0027: C0027',0,"{""verdict"": ""no""}"
What groups used attack technique 'T1552.002: Credentials in Registry'?,The groups that used attack technique 'T1552.002: Credentials in Registry' are: 'G0050: APT32',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1482: Domain Trust Discovery'?,"The campaigns that used attack technique 'T1482: Domain Trust Discovery' were: 'C0015: C0015', 'C0024: SolarWinds Compromise'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1213: Data from Information Repositories'?,"The groups that used attack technique 'T1213: Data from Information Repositories' are: 'G0007: APT28', 'G0010: Turla', 'G0034: Sandworm Team', 'G0037: FIN6', 'G0117: Fox Kitten', 'G1004: LAPSUS$'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1562.008: Disable or Modify Cloud Logs'?,The groups that used attack technique 'T1562.008: Disable or Modify Cloud Logs' are: 'G0016: APT29',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1565.001: Data Manipulation: Stored Data Manipulation'?,The parent technique of attack technique 'T1565.001: Data Manipulation: Stored Data Manipulation' is 'T1565: Data Manipulation',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1491.001: Internal Defacement'?,"The groups that used attack technique 'T1491.001: Internal Defacement' are: 'G0032: Lazarus Group', 'G0047: Gamaredon Group'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1480.001: Environmental Keying'?,"The groups that used attack technique 'T1480.001: Environmental Keying' are: 'G0020: Equation', 'G0096: APT41'",1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1550: Use Alternate Authentication Material'?,The campaigns that used attack technique 'T1550: Use Alternate Authentication Material' were: 'C0024: SolarWinds Compromise',1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1059.006: Command and Scripting Interpreter: Python'?,The parent technique of attack technique 'T1059.006: Command and Scripting Interpreter: Python' is 'T1059: Command and Scripting Interpreter',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1106: Native API'?,"The groups that used attack technique 'T1106: Native API' are: 'G0010: Turla', 'G0032: Lazarus Group', 'G0045: menuPass', 'G0047: Gamaredon Group', 'G0067: APT37', 'G0078: Gorgon Group', 'G0081: Tropic Trooper', 'G0082: APT38', 'G0091: Silence', 'G0092: TA505', 'G0098: BlackTech', 'G0114: Chimera', 'G0126: Higaisa', 'G1008: SideCopy', 'G1022: ToddyCat'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1587.001: Malware'?,"The groups that used attack technique 'T1587.001: Malware' are: 'G0003: Cleaver', 'G0004: Ke3chang', 'G0010: Turla', 'G0016: APT29', 'G0032: Lazarus Group', 'G0034: Sandworm Team', 'G0046: FIN7', 'G0094: Kimsuky', 'G0119: Indrik Spider', 'G0139: TeamTNT', 'G1007: Aoqin Dragon', 'G1009: Moses Staff', 'G1014: LuminousMoth', 'G1016: FIN13'",2,"{""verdict"": ""yes""}"
What is the parent technique of attack technique 'T1134.003: Access Token Manipulation: Make and Impersonate Token'?,The parent technique of attack technique 'T1134.003: Access Token Manipulation: Make and Impersonate Token' is 'T1134: Access Token Manipulation',2,"{""verdict"": ""yes""}"
What software are used by attack group 'G0029: Scarlet Mimic'?,"The software used by attack group 'G0029: Scarlet Mimic' are: 'S0076: FakeM', 'S0077: CallMe', 'S0078: Psylo', 'S0079: MobileOrder'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1027.002: Software Packing'?,"The groups that used attack technique 'T1027.002: Software Packing' are: 'G0016: APT29', 'G0022: APT3', 'G0027: Threat Group-3390', 'G0040: Patchwork', 'G0066: Elderwood', 'G0070: Dark Caracal', 'G0082: APT38', 'G0087: APT39', 'G0089: The White Company', 'G0092: TA505', 'G0093: GALLIUM', 'G0094: Kimsuky', 'G0096: APT41', 'G0106: Rocke', 'G0128: ZIRCONIUM', 'G0139: TeamTNT', 'G1003: Ember Bear', 'G1007: Aoqin Dragon', 'G1018: TA2541', 'G1019: MoustachedBouncer'",2,"{""verdict"": ""yes""}"
What software are used by attack group 'G0124: Windigo'?,The software used by attack group 'G0124: Windigo' are: 'S0377: Ebury',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1566.002: Spearphishing Link'?,"The campaigns that used attack technique 'T1566.002: Spearphishing Link' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0011: C0011', 'C0016: Operation Dust Storm', 'C0021: C0021', 'C0022: Operation Dream Job'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1078.001: Default Accounts'?,"The groups that used attack technique 'T1078.001: Default Accounts' are: 'G0059: Magic Hound', 'G1016: FIN13'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1210: Exploitation of Remote Services'?,"The groups that used attack technique 'T1210: Exploitation of Remote Services' are: 'G0007: APT28', 'G0027: Threat Group-3390', 'G0035: Dragonfly', 'G0045: menuPass', 'G0046: FIN7', 'G0069: MuddyWater', 'G0102: Wizard Spider', 'G0117: Fox Kitten', 'G0131: Tonto Team', 'G1006: Earth Lusca'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1505.003: Web Shell'?,"The groups that used attack technique 'T1505.003: Web Shell' are: 'G0007: APT28', 'G0009: Deep Panda', 'G0016: APT29', 'G0027: Threat Group-3390', 'G0034: Sandworm Team', 'G0035: Dragonfly', 'G0049: OilRig', 'G0050: APT32', 'G0059: Magic Hound', 'G0065: Leviathan', 'G0081: Tropic Trooper', 'G0082: APT38', 'G0087: APT39', 'G0093: GALLIUM', 'G0094: Kimsuky', 'G0117: Fox Kitten', 'G0123: Volatile Cedar', 'G0125: HAFNIUM', 'G0131: Tonto Team', 'G0135: BackdoorDiplomacy', 'G1009: Moses Staff', 'G1016: FIN13', 'G1017: Volt Typhoon', 'G1023: APT5'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1003: OS Credential Dumping'?,"The groups that used attack technique 'T1003: OS Credential Dumping' are: 'G0001: Axiom', 'G0007: APT28', 'G0033: Poseidon Group', 'G0039: Suckfly', 'G0050: APT32', 'G0054: Sowbug', 'G0065: Leviathan', 'G0087: APT39', 'G0131: Tonto Team'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1016.002: Wi-Fi Discovery'?,The groups that used attack technique 'T1016.002: Wi-Fi Discovery' are: 'G0059: Magic Hound',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1098.005: Device Registration'?,"The campaigns that used attack technique 'T1098.005: Device Registration' were: 'C0024: SolarWinds Compromise', 'C0027: C0027'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1218.008: System Binary Proxy Execution: Odbcconf'?,The parent technique of attack technique 'T1218.008: System Binary Proxy Execution: Odbcconf' is 'T1218: System Binary Proxy Execution',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1071.004: DNS'?,The campaigns that used attack technique 'T1071.004: DNS' were: 'C0029: Cutting Edge',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1030: Data Transfer Size Limits'?,"The campaigns that used attack technique 'T1030: Data Transfer Size Limits' were: 'C0015: C0015', 'C0026: C0026'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1546.008: Accessibility Features'?,"The groups that used attack technique 'T1546.008: Accessibility Features' are: 'G0001: Axiom', 'G0009: Deep Panda', 'G0016: APT29', 'G0022: APT3', 'G0096: APT41', 'G0117: Fox Kitten'",2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1027.005: Indicator Removal from Tools'?,"The groups that used attack technique 'T1027.005: Indicator Removal from Tools' are: 'G0009: Deep Panda', 'G0010: Turla', 'G0022: APT3', 'G0040: Patchwork', 'G0049: OilRig', 'G0093: GALLIUM'",2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1584.008: Network Devices'?,The campaigns that used attack technique 'T1584.008: Network Devices' were: 'C0029: Cutting Edge',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1039: Data from Network Shared Drive'?,The campaigns that used attack technique 'T1039: Data from Network Shared Drive' were: 'C0015: C0015',1,"{""verdict"": ""uncertain""}"
What campaigns used attack technique 'T1090: Proxy'?,"The campaigns that used attack technique 'T1090: Proxy' were: 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0017: C0017', 'C0027: C0027'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1569.002: System Services: Service Execution'?,The parent technique of attack technique 'T1569.002: System Services: Service Execution' is 'T1569: System Services',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1021.007: Cloud Services'?,"The groups that used attack technique 'T1021.007: Cloud Services' are: 'G0016: APT29', 'G1015: Scattered Spider'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1547.001: Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder'?,The parent technique of attack technique 'T1547.001: Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder' is 'T1547: Boot or Logon Autostart Execution',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1552.004: Private Keys'?,"The groups that used attack technique 'T1552.004: Private Keys' are: 'G0106: Rocke', 'G0139: TeamTNT', 'G1015: Scattered Spider'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1036.008: Masquerading: Masquerade File Type'?,The parent technique of attack technique 'T1036.008: Masquerading: Masquerade File Type' is 'T1036: Masquerading',2,"{""verdict"": ""yes""}"
What campaigns used attack technique 'T1585.001: Social Media Accounts'?,"The campaigns that used attack technique 'T1585.001: Social Media Accounts' were: 'C0022: Operation Dream Job', 'C0023: Operation Ghost'",1,"{""verdict"": ""uncertain""}"
What groups used attack technique 'T1090.002: External Proxy'?,"The groups that used attack technique 'T1090.002: External Proxy' are: 'G0007: APT28', 'G0016: APT29', 'G0022: APT3', 'G0032: Lazarus Group', 'G0045: menuPass', 'G0053: FIN5', 'G0069: MuddyWater', 'G0087: APT39', 'G0091: Silence', 'G0093: GALLIUM', 'G0131: Tonto Team'",2,"{""verdict"": ""yes""}"
What software are used by attack group 'G0028: Threat Group-1314'?,"The software used by attack group 'G0028: Threat Group-1314' are: 'S0029: PsExec', 'S0039: Net'",1,"{""verdict"": ""uncertain""}"
What is the parent technique of attack technique 'T1608.005: Stage Capabilities: Link Target'?,The parent technique of attack technique 'T1608.005: Stage Capabilities: Link Target' is 'T1608: Stage Capabilities',2,"{""verdict"": ""yes""}"
What groups used attack technique 'T1070.001: Clear Windows Event Logs'?,"The groups that used attack technique 'T1070.001: Clear Windows Event Logs' are: 'G0007: APT28', 'G0035: Dragonfly', 'G0050: APT32', 'G0053: FIN5', 'G0061: FIN8', 'G0082: APT38', 'G0096: APT41', 'G0114: Chimera', 'G0119: Indrik Spider'",2,"{""verdict"": ""yes""}"
