bi_encoder,reranker,reranker_path,loss_type,train_dataset,MRR@15,HitRate@3,HitRate@5,HitRate@10,avg_time_retrieval_sec,avg_time_rerank_sec,total_time_retrieval_sec,total_time_rerank_sec,top_k_retrieval
intfloat/e5-base-v2,triplet__train_cross_mining_dataset__validation_cross_mining_dataset,./minilm_rerank_triplet/train_cross_mining_dataset__validation_cross_mining_dataset/run_57_wpn6.0_wph1.5_whm0.5_m0.15/best_model,triplet,train_cross_mining_dataset__validation_cross_mining_dataset,0.6902408111533588,0.6958174904942965,0.6958174904942965,0.6958174904942965,0.0006665148903321857,0.007092147223835549,0.8764670807868242,9.326173599343747,15
intfloat/e5-base-v2,triplet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,./minilm_rerank_triplet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/run_75_wpn6.0_wph2.5_whm0.5_m0.15/best_model,triplet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.6887198986058303,0.6950570342205323,0.6950570342205323,0.6958174904942965,0.0006665148903321857,0.007120232562049374,0.8764670807868242,9.363105819094926,15
sentence-transformers/all-mpnet-base-v2,ranknet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,minilm_rerank_ranknet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/best_model,ranknet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.6873444468501506,0.7292775665399239,0.75893536121673,0.785551330798479,0.0006569155537923479,0.005747732199983452,0.8638439532369375,7.558267842978239,15
intfloat/e5-large-v2,No_Reranker,,none,none,0.6675187929940783,0.6836501901140685,0.6980988593155893,0.7155893536121672,0.0019445787162693509,0.0,2.5571210118941963,0.0,15
BAAI/bge-base-en-v1.5,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,baseline,ms-marco,0.6646281116433225,0.6638783269961978,0.6692015209125475,0.6768060836501901,0.0007592263018903623,0.00641722924646146,0.9983825869858265,8.43865645909682,15
sentence-transformers/all-mpnet-base-v2,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,baseline,ms-marco,0.6628551212201412,0.6638783269961978,0.6669201520912548,0.6836501901140685,0.0006569155537923479,0.005792159334660823,0.8638439532369375,7.616689525078982,15
sentence-transformers/all-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,baseline,ms-marco,0.6615569221652888,0.6600760456273764,0.6638783269961978,0.6828897338403042,0.0002359723328779179,0.005973226973298272,0.310303617734462,7.854793469887227,15
intfloat/e5-base-v2,No_Reranker,,none,none,0.6562808948550395,0.6752851711026616,0.6775665399239543,0.691254752851711,0.0006665148903321857,0.0,0.8764670807868242,0.0,15
intfloat/e5-base-v2,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,baseline,ms-marco,0.6549596791041662,0.6631178707224334,0.6661596958174905,0.6699619771863118,0.0006665148903321857,0.007091267554606435,0.8764670807868242,9.325016834307462,15
intfloat/e5-large-v2,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,baseline,ms-marco,0.6546870240026144,0.6585551330798479,0.6631178707224334,0.6699619771863118,0.0019445787162693509,0.006651531573130038,2.5571210118941963,8.746764018666,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ranknet__train_cross_mining_dataset__validation_cross_mining_dataset,minilm_rerank_ranknet/train_cross_mining_dataset__validation_cross_mining_dataset/best_model,ranknet,train_cross_mining_dataset__validation_cross_mining_dataset,0.6465779467680608,0.6501901140684411,0.6509505703422053,0.6509505703422053,0.0002838762349558874,0.00612536494517451,0.3732972489669919,8.05485490290448,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,triplet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,./minilm_rerank_triplet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/run_75_wpn6.0_wph2.5_whm0.5_m0.15/best_model,triplet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.6461343472750317,0.6509505703422053,0.6509505703422053,0.6509505703422053,0.0002838762349558874,0.006097345132409053,0.3732972489669919,8.018008849117905,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,triplet__train_cross_mining_dataset__validation_cross_mining_dataset,./minilm_rerank_triplet/train_cross_mining_dataset__validation_cross_mining_dataset/run_57_wpn6.0_wph1.5_whm0.5_m0.15/best_model,triplet,train_cross_mining_dataset__validation_cross_mining_dataset,0.6453738910012675,0.6509505703422053,0.6509505703422053,0.6509505703422053,0.0002838762349558874,0.006125516138489256,0.3732972489669919,8.055053722113371,15
intfloat/e5-large-v2,ranknet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,minilm_rerank_ranknet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/best_model,ranknet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.6420477811162223,0.6692015209125475,0.7003802281368822,0.7269961977186312,0.0019445787162693509,0.006610267750649738,2.5571210118941963,8.692502092104405,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L6-v2,baseline,ms-marco,0.6340708087856378,0.6403041825095057,0.6425855513307985,0.6448669201520912,0.0002838762349558874,0.006065932767175337,0.3732972489669919,7.976701588835567,15
intfloat/e5-base-v2,ranknet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,minilm_rerank_ranknet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/best_model,ranknet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.6122177041378565,0.6418250950570342,0.6692015209125475,0.6904942965779468,0.0006665148903321857,0.0070843444591805966,0.8764670807868242,9.315912963822484,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,ranknet__train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,minilm_rerank_ranknet/train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset/best_model,ranknet,train_hn_pca_ensemble_dataset__validation_hn_pca_ensemble_dataset,0.5918293472475984,0.6167300380228137,0.629657794676806,0.6494296577946768,0.0002838762349558874,0.006082280589260529,0.3732972489669919,7.998198974877596,15
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,No_Reranker,,none,none,0.57551578543974,0.6060836501901141,0.6190114068441065,0.6433460076045627,0.0002838762349558874,0.0,0.3732972489669919,0.0,15
