,question,answer
9.162813857622698e-72,What campaigns used attack technique 'T1059.003: Windows Command Shell'?,"The campaigns that used attack technique 'T1059.003: Windows Command Shell' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack'"
8.776797637187712e+252,What campaigns used attack technique 'T1047: Windows Management Instrumentation'?,"The campaigns that used attack technique 'T1047: Windows Management Instrumentation' were: 'C0001: Frankenstein', 'C0007: FunnyDream', 'C0014: Operation Wocao', 'C0015: C0015', 'C0018: C0018', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0027: C0027'"
2.116516492643879e+214,What campaigns used attack technique 'T1543.003: Windows Service'?,"The campaigns that used attack technique 'T1543.003: Windows Service' were: 'C0006: Operation Honeybee', 'C0012: Operation CuckooBees', 'C0025: 2016 Ukraine Electric Power Attack'"
1.6141055864059495e+132,What campaigns used attack technique 'T1485: Data Destruction'?,The campaigns that used attack technique 'T1485: Data Destruction' were: 'C0034: 2022 Ukraine Electric Power Attack'
2.1115591321306064e+257,What campaigns used attack technique 'T1484.001: Group Policy Modification'?,The campaigns that used attack technique 'T1484.001: Group Policy Modification' were: 'C0034: 2022 Ukraine Electric Power Attack'
2.0018278011654068e-23,What campaigns used attack technique 'T1036.004: Masquerade Task or Service'?,"The campaigns that used attack technique 'T1036.004: Masquerade Task or Service' were: 'C0001: Frankenstein', 'C0017: C0017', 'C0024: SolarWinds Compromise', 'C0034: 2022 Ukraine Electric Power Attack'"
9.480525731533978e+217,What campaigns used attack technique 'T1095: Non-Application Layer Protocol'?,"The campaigns that used attack technique 'T1095: Non-Application Layer Protocol' were: 'C0014: Operation Wocao', 'C0021: C0021', 'C0029: Cutting Edge', 'C0034: 2022 Ukraine Electric Power Attack'"
2.951624506739402e-75,What campaigns used attack technique 'T1572: Protocol Tunneling'?,"The campaigns that used attack technique 'T1572: Protocol Tunneling' were: 'C0004: CostaRicto', 'C0027: C0027', 'C0029: Cutting Edge', 'C0032: C0032', 'C0034: 2022 Ukraine Electric Power Attack'"
2.351062155837994e-76,What campaigns used attack technique 'T1053.005: Scheduled Task'?,"The campaigns that used attack technique 'T1053.005: Scheduled Task' were: 'C0001: Frankenstein', 'C0004: CostaRicto', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032', 'C0034: 2022 Ukraine Electric Power Attack'"
6.01391519218947e-154,What campaigns used attack technique 'T1543.002: Systemd Service'?,The campaigns that used attack technique 'T1543.002: Systemd Service' were: 'C0034: 2022 Ukraine Electric Power Attack'
3.98475606350978e+252,What campaigns used attack technique 'T1505.003: Web Shell'?,"The campaigns that used attack technique 'T1505.003: Web Shell' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0029: Cutting Edge', 'C0032: C0032', 'C0034: 2022 Ukraine Electric Power Attack'"
9.162813857622672e-72,What campaigns used attack technique 'T1583.001: Domains'?,"The campaigns that used attack technique 'T1583.001: Domains' were: 'C0004: CostaRicto', 'C0005: Operation Spalax', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0010: C0010', 'C0011: C0011', 'C0016: Operation Dust Storm', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0023: Operation Ghost', 'C0024: SolarWinds Compromise', 'C0026: C0026'"
9.451173314920814e+179,What campaigns used attack technique 'T1584.001: Domains'?,"The campaigns that used attack technique 'T1584.001: Domains' were: 'C0010: C0010', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise'"
5.0303759183674035e+175,What campaigns used attack technique 'T1189: Drive-by Compromise'?,"The campaigns that used attack technique 'T1189: Drive-by Compromise' were: 'C0010: C0010', 'C0016: Operation Dust Storm'"
1.4273848886761468e+228,What campaigns used attack technique 'T1608.004: Drive-by Target'?,The campaigns that used attack technique 'T1608.004: Drive-by Target' were: 'C0010: C0010'
9.162813858567266e-72,What campaigns used attack technique 'T1587.001: Malware'?,"The campaigns that used attack technique 'T1587.001: Malware' were: 'C0004: CostaRicto', 'C0010: C0010', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0022: Operation Dream Job', 'C0023: Operation Ghost', 'C0024: SolarWinds Compromise', 'C0030: Triton Safety Instrumented System Attack'"
2.1723660399686781e-153,What campaigns used attack technique 'T1588.002: Tool'?,"The campaigns that used attack technique 'T1588.002: Tool' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0004: CostaRicto', 'C0005: Operation Spalax', 'C0007: FunnyDream', 'C0010: C0010', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0027: C0027', 'C0029: Cutting Edge', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032'"
2.6626301756391224e-61,What campaigns used attack technique 'T1608.001: Upload Malware'?,"The campaigns that used attack technique 'T1608.001: Upload Malware' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0010: C0010', 'C0011: C0011', 'C0013: Operation Sharpshooter', 'C0021: C0021', 'C0022: Operation Dream Job'"
2.3507233221031688e-76,What campaigns used attack technique 'T1608.002: Upload Tool'?,"The campaigns that used attack technique 'T1608.002: Upload Tool' were: 'C0010: C0010', 'C0022: Operation Dream Job'"
2.1318507213080708e+257,What campaigns used attack technique 'T1587.003: Digital Certificates'?,The campaigns that used attack technique 'T1587.003: Digital Certificates' were: 'C0011: C0011'
2.0845458624207096e-23,What campaigns used attack technique 'T1204.001: Malicious Link'?,"The campaigns that used attack technique 'T1204.001: Malicious Link' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0011: C0011', 'C0016: Operation Dust Storm', 'C0021: C0021', 'C0022: Operation Dream Job'"
9.4836881947821e-154,What campaigns used attack technique 'T1566.002: Spearphishing Link'?,"The campaigns that used attack technique 'T1566.002: Spearphishing Link' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0011: C0011', 'C0016: Operation Dust Storm', 'C0021: C0021', 'C0022: Operation Dream Job'"
9.162813857624618e-72,What campaigns used attack technique 'T1553.002: Code Signing'?,"The campaigns that used attack technique 'T1553.002: Code Signing' were: 'C0006: Operation Honeybee', 'C0015: C0015', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise'"
3.541841939392994e+160,What campaigns used attack technique 'T1486: Data Encrypted for Impact'?,"The campaigns that used attack technique 'T1486: Data Encrypted for Impact' were: 'C0015: C0015', 'C0018: C0018'"
6.638325235892353e-119,What campaigns used attack technique 'T1030: Data Transfer Size Limits'?,"The campaigns that used attack technique 'T1030: Data Transfer Size Limits' were: 'C0015: C0015', 'C0026: C0026'"
2.6626301756391224e-61,What campaigns used attack technique 'T1005: Data from Local System'?,"The campaigns that used attack technique 'T1005: Data from Local System' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0004: CostaRicto', 'C0006: Operation Honeybee', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0026: C0026', 'C0029: Cutting Edge'"
1.4213787612807307e-76,What campaigns used attack technique 'T1039: Data from Network Shared Drive'?,The campaigns that used attack technique 'T1039: Data from Network Shared Drive' were: 'C0015: C0015'
9.67790541998118e+227,What campaigns used attack technique 'T1069.002: Domain Groups'?,"The campaigns that used attack technique 'T1069.002: Domain Groups' were: 'C0015: C0015', 'C0024: SolarWinds Compromise'"
2.365956321723429e-27,What campaigns used attack technique 'T1482: Domain Trust Discovery'?,"The campaigns that used attack technique 'T1482: Domain Trust Discovery' were: 'C0015: C0015', 'C0024: SolarWinds Compromise'"
2.6626301756391224e-61,What campaigns used attack technique 'T1055.001: Dynamic-link Library Injection'?,The campaigns that used attack technique 'T1055.001: Dynamic-link Library Injection' were: 'C0015: C0015'
2.0490563247694754e+190,What campaigns used attack technique 'T1567.002: Exfiltration to Cloud Storage'?,"The campaigns that used attack technique 'T1567.002: Exfiltration to Cloud Storage' were: 'C0015: C0015', 'C0022: Operation Dream Job'"
2.9846942208148597e+242,What campaigns used attack technique 'T1083: File and Directory Discovery'?,"The campaigns that used attack technique 'T1083: File and Directory Discovery' were: 'C0002: Night Dragon', 'C0006: Operation Honeybee', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise'"
2.972581159237437e+222,What campaigns used attack technique 'T1059.007: JavaScript'?,"The campaigns that used attack technique 'T1059.007: JavaScript' were: 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0017: C0017'"
1.1375479533059226e+243,What campaigns used attack technique 'T1074.001: Local Data Staging'?,"The campaigns that used attack technique 'T1074.001: Local Data Staging' were: 'C0006: Operation Honeybee', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0032: C0032'"
3.4213414808239797e+180,What campaigns used attack technique 'T1069.001: Local Groups'?,"The campaigns that used attack technique 'T1069.001: Local Groups' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015'"
1.4900547067645666e+195,What campaigns used attack technique 'T1588.001: Malware'?,"The campaigns that used attack technique 'T1588.001: Malware' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0007: FunnyDream', 'C0015: C0015'"
8.041143349621744e+165,What campaigns used attack technique 'T1036: Masquerading'?,"The campaigns that used attack technique 'T1036: Masquerading' were: 'C0006: Operation Honeybee', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0018: C0018'"
3.42774121298201e+214,What campaigns used attack technique 'T1218.005: Mshta'?,"The campaigns that used attack technique 'T1218.005: Mshta' were: 'C0015: C0015', 'C0016: Operation Dust Storm'"
1.1059322295647168e+136,What campaigns used attack technique 'T1135: Network Share Discovery'?,"The campaigns that used attack technique 'T1135: Network Share Discovery' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015'"
7.691104800411696e+218,What campaigns used attack technique 'T1057: Process Discovery'?,"The campaigns that used attack technique 'T1057: Process Discovery' were: 'C0001: Frankenstein', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0024: SolarWinds Compromise'"
3.299754247136598e+180,What campaigns used attack technique 'T1218.010: Regsvr32'?,"The campaigns that used attack technique 'T1218.010: Regsvr32' were: 'C0015: C0015', 'C0022: Operation Dream Job'"
4.443876852080812e+252,What campaigns used attack technique 'T1219: Remote Access Software'?,"The campaigns that used attack technique 'T1219: Remote Access Software' were: 'C0002: Night Dragon', 'C0015: C0015', 'C0018: C0018', 'C0027: C0027'"
1.5076341265892717e+161,What campaigns used attack technique 'T1021.001: Remote Desktop Protocol'?,"The campaigns that used attack technique 'T1021.001: Remote Desktop Protocol' were: 'C0015: C0015', 'C0018: C0018', 'C0024: SolarWinds Compromise', 'C0029: Cutting Edge', 'C0032: C0032'"
7.227566863644982e+159,What campaigns used attack technique 'T1016: System Network Configuration Discovery'?,"The campaigns that used attack technique 'T1016: System Network Configuration Discovery' were: 'C0001: Frankenstein', 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0018: C0018'"
2.569290940756327e+161,What campaigns used attack technique 'T1124: System Time Discovery'?,"The campaigns that used attack technique 'T1124: System Time Discovery' were: 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015'"
1.45913392561266e-152,What campaigns used attack technique 'T1134: Access Token Manipulation'?,The campaigns that used attack technique 'T1134: Access Token Manipulation' were: 'C0017: C0017'
3.6832174527612516e+180,What campaigns used attack technique 'T1560.003: Archive via Custom Method'?,The campaigns that used attack technique 'T1560.003: Archive via Custom Method' were: 'C0017: C0017'
3.093172183489283e+169,What campaigns used attack technique 'T1102.001: Dead Drop Resolver'?,The campaigns that used attack technique 'T1102.001: Dead Drop Resolver' were: 'C0017: C0017'
4.074730971661368e+223,What campaigns used attack technique 'T1140: Deobfuscate/Decode Files or Information'?,"The campaigns that used attack technique 'T1140: Deobfuscate/Decode Files or Information' were: 'C0001: Frankenstein', 'C0005: Operation Spalax', 'C0006: Operation Honeybee', 'C0016: Operation Dust Storm', 'C0017: C0017', 'C0021: C0021', 'C0024: SolarWinds Compromise'"
4.95140838133648e+228,What campaigns used attack technique 'T1041: Exfiltration Over C2 Channel'?,"The campaigns that used attack technique 'T1041: Exfiltration Over C2 Channel' were: 'C0001: Frankenstein', 'C0006: Operation Honeybee', 'C0014: Operation Wocao', 'C0017: C0017', 'C0022: Operation Dream Job'"
3.814350663267837e+228,What campaigns used attack technique 'T1048.003: Exfiltration Over Unencrypted Non-C2 Protocol'?,The campaigns that used attack technique 'T1048.003: Exfiltration Over Unencrypted Non-C2 Protocol' were: 'C0017: C0017'
3.624819903402104e+228,What campaigns used attack technique 'T1567: Exfiltration Over Web Service'?,The campaigns that used attack technique 'T1567: Exfiltration Over Web Service' were: 'C0017: C0017'
1.6604295510574934e+243,What campaigns used attack technique 'T1190: Exploit Public-Facing Application'?,"The campaigns that used attack technique 'T1190: Exploit Public-Facing Application' were: 'C0002: Night Dragon', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0018: C0018', 'C0024: SolarWinds Compromise', 'C0027: C0027', 'C0029: Cutting Edge'"
7.505929888080197e+247,What campaigns used attack technique 'T1068: Exploitation for Privilege Escalation'?,The campaigns that used attack technique 'T1068: Exploitation for Privilege Escalation' were: 'C0017: C0017'
7.514465253959154e+199,What campaigns used attack technique 'T1574: Hijack Execution Flow'?,The campaigns that used attack technique 'T1574: Hijack Execution Flow' were: 'C0017: C0017'
2.1132928893833232e+214,What campaigns used attack technique 'T1001.003: Protocol Impersonation'?,The campaigns that used attack technique 'T1001.003: Protocol Impersonation' were: 'C0017: C0017'
1.7696539487624122e+137,What campaigns used attack technique 'T1090: Proxy'?,"The campaigns that used attack technique 'T1090: Proxy' were: 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0017: C0017', 'C0027: C0027'"
1.0637357658417635e+248,What campaigns used attack technique 'T1003.002: Security Account Manager'?,"The campaigns that used attack technique 'T1003.002: Security Account Manager' were: 'C0002: Night Dragon', 'C0012: Operation CuckooBees', 'C0017: C0017'"
3.537015686355428e+160,What campaigns used attack technique 'T1082: System Information Discovery'?,"The campaigns that used attack technique 'T1082: System Information Discovery' were: 'C0001: Frankenstein', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0024: SolarWinds Compromise', 'C0029: Cutting Edge'"
1.2784949352386543e-152,What campaigns used attack technique 'T1033: System Owner/User Discovery'?,"The campaigns that used attack technique 'T1033: System Owner/User Discovery' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0018: C0018'"
2.314635585412733e-152,What campaigns used attack technique 'T1102: Web Service'?,"The campaigns that used attack technique 'T1102: Web Service' were: 'C0005: Operation Spalax', 'C0017: C0017', 'C0027: C0027'"
2.35052608407766e+180,What campaigns used attack technique 'T1027.010: Command Obfuscation'?,"The campaigns that used attack technique 'T1027.010: Command Obfuscation' were: 'C0001: Frankenstein', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0018: C0018', 'C0021: C0021'"
4.2435986301998696e+175,What campaigns used attack technique 'T1046: Network Service Discovery'?,"The campaigns that used attack technique 'T1046: Network Service Discovery' were: 'C0004: CostaRicto', 'C0014: Operation Wocao', 'C0018: C0018', 'C0027: C0027'"
1.1419921433416134e+243,What campaigns used attack technique 'T1571: Non-Standard Port'?,"The campaigns that used attack technique 'T1571: Non-Standard Port' were: 'C0014: Operation Wocao', 'C0018: C0018', 'C0032: C0032'"
1.3371701441601133e-152,What campaigns used attack technique 'T1072: Software Deployment Tools'?,The campaigns that used attack technique 'T1072: Software Deployment Tools' were: 'C0018: C0018'
1.398068729882908e-152,What campaigns used attack technique 'T1573.002: Asymmetric Cryptography'?,"The campaigns that used attack technique 'T1573.002: Asymmetric Cryptography' were: 'C0014: Operation Wocao', 'C0021: C0021'"
2.2556850601807746e+137,What campaigns used attack technique 'T1027.009: Embedded Payloads'?,The campaigns that used attack technique 'T1027.009: Embedded Payloads' were: 'C0021: C0021'
2.649373831596349e+180,What campaigns used attack technique 'T1560.001: Archive via Utility'?,"The campaigns that used attack technique 'T1560.001: Archive via Utility' were: 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0026: C0026', 'C0029: Cutting Edge'"
2.458861504647858e+198,What campaigns used attack technique 'T1568: Dynamic Resolution'?,"The campaigns that used attack technique 'T1568: Dynamic Resolution' were: 'C0002: Night Dragon', 'C0005: Operation Spalax', 'C0016: Operation Dust Storm', 'C0024: SolarWinds Compromise', 'C0026: C0026'"
1.9485560225576125e+227,What campaigns used attack technique 'T1098.001: Additional Cloud Credentials'?,"The campaigns that used attack technique 'T1098.001: Additional Cloud Credentials' were: 'C0024: SolarWinds Compromise', 'C0027: C0027'"
4.269540781534006e+257,What campaigns used attack technique 'T1098.003: Additional Cloud Roles'?,"The campaigns that used attack technique 'T1098.003: Additional Cloud Roles' were: 'C0024: SolarWinds Compromise', 'C0027: C0027'"
3.6248314705648296e+228,What campaigns used attack technique 'T1087.004: Cloud Account'?,The campaigns that used attack technique 'T1087.004: Cloud Account' were: 'C0027: C0027'
2.315976086160206e+251,What campaigns used attack technique 'T1078.004: Cloud Accounts'?,"The campaigns that used attack technique 'T1078.004: Cloud Accounts' were: 'C0024: SolarWinds Compromise', 'C0027: C0027'"
9.041152192170378e+271,What campaigns used attack technique 'T1069.003: Cloud Groups'?,The campaigns that used attack technique 'T1069.003: Cloud Groups' were: 'C0027: C0027'
