,question,answer
9.05314095874406e+223,What is an example of a utility that can be used to track usage of commands related to the 'T1069.002: Domain Groups' attack technique on MacOS systems?,"An example of a utility that can be used to track usage of commands related to the 'T1069.002: Domain Groups' attack technique on MacOS systems is Process Monitor, which works in concert with Apple’s Endpoint Security Framework."
1.614105586405969e+132,What is the Event ID for the 'T1069.002: Domain Groups' attack technique in the Windows Security Log?,"The Event ID for the 'T1069.002: Domain Groups' attack technique in the Windows Security Log is 4688, which corresponds to a new process having been created."
1.0330746511480962e+136,What type of environments are vulnerable to the 'T1482: Domain Trust Discovery' attack technique?,"Windows multi-domain/forest environments are vulnerable to the 'T1482: Domain Trust Discovery' attack technique, as it can be used to identify lateral movement opportunities."
1.8205171282612823e+185,What is the purpose of monitoring newly executed processes in the context of detecting the 'T1562.010: Downgrade Attack'?,"The purpose of monitoring newly executed processes is to detect potential downgrade attacks, which involve using a version of system features that may be outdated, vulnerable, and/or does not support updated security controls such as logging."
4.926745830927766e-27,What are the characteristics of system features that may be targeted in a downgrade attack?,"System features that may be targeted in a downgrade attack are those that are outdated, vulnerable, and/or do not support updated security controls such as logging."
1.6141055864059473e+132,What are some examples of abnormal behaviors of browser processes that might indicate successful compromise?,"Examples of abnormal behaviors of browser processes that might indicate successful compromise include suspicious files written to disk, evidence of Process Injection for attempts to hide execution, or evidence of Discovery."
2.1165165205020375e+214,What is the purpose of monitoring for newly executed processes that may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands?,"The purpose of monitoring for newly executed processes that may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands is to detect potential malicious activity, as adversaries may use DDE to execute arbitrary commands."
1.6141055864059495e+132,What is Windows Dynamic Data Exchange (DDE) used for?,"Windows Dynamic Data Exchange (DDE) is a client-server protocol for one-time and/or continuous inter-process communication (IPC) between applications, allowing them to exchange transactions consisting of strings, warm data links, hot data links, and requests for command execution."
2.1115591321306064e+257,What is the primary method to detect the 'T1087.003: Email Account' attack technique?,"The primary method to detect the 'T1087.003: Email Account' attack technique is by monitoring newly executed processes, such as Windows Management Instrumentation and PowerShell, with arguments that can be used to enumerate email addresses and accounts."
2.0018278011654068e-23,What is a way to detect the use of environmental keying?,"Monitoring for suspicious processes being spawned that gather a variety of system information or perform other forms of discovery, especially in a short period of time, may aid in detection."
9.480525731533978e+217,What is the primary method to detect the 'T1611: Escape to Host' attack technique?,"The primary method to detect the 'T1611: Escape to Host' attack technique is to monitor for process activity, specifically unexpected processes spawning outside a container and/or on a host."
2.951624506739402e-75,What should be looked for in process call trees to detect potential attack techniques?,Abnormal process call trees for execution of other commands that could relate to Discovery actions or other techniques should be looked for.
2.351062155837994e-76,What is the recommended approach to identify the 'T1574.005: Executable Installer File Permissions Weakness' attack technique?,The recommended approach to identify the 'T1574.005: Executable Installer File Permissions Weakness' attack technique is to monitor for newly constructed processes that match existing service executables.
6.01391519218947e-154,What may make it difficult to detect the 'T1480: Execution Guardrails' attack technique?,The implementation of guardrails may make it difficult to detect the 'T1480: Execution Guardrails' attack technique.
3.7620359724906385e+199,How can the 'Process Creation' data component be used to detect the 'T1052: Exfiltration Over Physical Medium' attack technique?,The 'Process Creation' data component can be used to detect the 'T1052: Exfiltration Over Physical Medium' attack technique by monitoring for newly executed processes when removable media is mounted.
2.1115560891101784e+257,What is a recommended method for detecting the 'Exfiltration over USB' attack technique?,A recommended method for detecting the 'Exfiltration over USB' attack technique is to monitor newly executed processes when removable media is mounted.
1.0590390538760082e+218,What is the primary method to detect the 'T1211: Exploitation for Defense Evasion' attack technique?,"The primary method to detect the 'T1211: Exploitation for Defense Evasion' attack technique is to monitor for abnormal process creations, such as a Command and Scripting Interpreter spawning from a potentially exploited application."
2.1136661634520755e+257,What are the common ways threat actors escalate privileges in a system?,"Threat actors commonly escalate privileges by externally invoking and exploiting spoolsv or connhost executables, which are legitimate Windows applications."
1.3899781896621274e+218,What is the purpose of monitoring newly executed processes in the context of detecting the 'T1083: File and Directory Discovery' attack technique?,The purpose of monitoring newly executed processes is to identify potential malicious activities that may enumerate files and directories or search for specific information within a file system.
9.162813857624077e-72,What is the purpose of monitoring newly executed processes in the context of detecting the 'T1222: File and Directory Permissions Modification' attack technique?,The purpose of monitoring newly executed processes is to detect potential modifications to file or directory permissions/attributes that may be used to evade access control lists (ACLs) and access protected files.
1.0091983936126918e-66,What is the primary goal of the 'T1222: File and Directory Permissions Modification' attack technique?,The primary goal of the 'T1222: File and Directory Permissions Modification' attack technique is to modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.
1.163128228595502e+214,What is the primary method to detect the 'T1056.002: GUI Input Capture' attack technique?,The primary method to detect the 'T1056.002: GUI Input Capture' attack technique is to monitor for newly executed processes.
9.898036149458218e+164,What is the recommended approach to detect 'T1056.002: GUI Input Capture' attack technique?,"The recommended approach to detect 'T1056.002: GUI Input Capture' attack technique is to monitor for newly executed processes, which can help identify potential malicious activity."
1.0931989927282633e-94,What is a potential method to detect the 'T1553.001: Gatekeeper Bypass' attack technique?,A potential method to detect the 'T1553.001: Gatekeeper Bypass' attack technique is to monitor and investigate attempts to modify extended file attributes with utilities such as xattr.
7.249186902744645e+228,What is the purpose of monitoring newly executed processes in the context of 'T1615: Group Policy Discovery'?,"The purpose of monitoring newly executed processes is to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in domain objects that can be manipulated or used to blend in the environment."
1.421378359088146e-76,What type of information can be gathered by newly executed processes in the context of 'T1615: Group Policy Discovery'?,"Newly executed processes can gather information on Group Policy settings, which can be used to identify paths for privilege escalation, security measures applied within a domain, and to discover patterns in domain objects that can be manipulated or used to blend in the environment."
6.745221454852482e+164,What is an example of a suspicious process that may be used for hidden malicious activity via hVNC?,"An example of a suspicious process is an additional 'explorer.exe' holding a handle to an unknown desktop, which may be used for hidden malicious activity via hVNC."
1.4213783961260378e-76,What campaigns used attack technique 'T1562.001: Disable or Modify Tools'?,"The campaigns that used attack technique 'T1562.001: Disable or Modify Tools' were: 'C0002: Night Dragon', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
2.917959929165608e-14,What campaigns used attack technique 'T1136.002: Domain Account'?,"The campaigns that used attack technique 'T1136.002: Domain Account' were: 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack'"
1.6141055864059473e+132,What campaigns used attack technique 'T1133: External Remote Services'?,"The campaigns that used attack technique 'T1133: External Remote Services' were: 'C0002: Night Dragon', 'C0004: CostaRicto', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0024: SolarWinds Compromise', 'C0027: C0027', 'C0028: 2015 Ukraine Electric Power Attack', 'C0032: C0032'"
2.001464072386347e-23,What campaigns used attack technique 'T1070.004: File Deletion'?,"The campaigns that used attack technique 'T1070.004: File Deletion' were: 'C0006: Operation Honeybee', 'C0014: Operation Wocao', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge', 'C0032: C0032'"
5.037345738532019e+180,What campaigns used attack technique 'T1105: Ingress Tool Transfer'?,"The campaigns that used attack technique 'T1105: Ingress Tool Transfer' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0004: CostaRicto', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0010: C0010', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0015: C0015', 'C0017: C0017', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0026: C0026', 'C0027: C0027', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
2.6626301756391224e-61,What campaigns used attack technique 'T1056.001: Keylogging'?,"The campaigns that used attack technique 'T1056.001: Keylogging' were: 'C0014: Operation Wocao', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
4.0735986317770256e+223,What campaigns used attack technique 'T1570: Lateral Tool Transfer'?,"The campaigns that used attack technique 'T1570: Lateral Tool Transfer' were: 'C0014: Operation Wocao', 'C0015: C0015', 'C0018: C0018', 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack', 'C0034: 2022 Ukraine Electric Power Attack'"
1.9085944863816036e+185,What campaigns used attack technique 'T1204.002: Malicious File'?,"The campaigns that used attack technique 'T1204.002: Malicious File' were: 'C0001: Frankenstein', 'C0005: Operation Spalax', 'C0006: Operation Honeybee', 'C0011: C0011', 'C0013: Operation Sharpshooter', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0022: Operation Dream Job', 'C0028: 2015 Ukraine Electric Power Attack'"
2.111556066737399e+257,What campaigns used attack technique 'T1112: Modify Registry'?,"The campaigns that used attack technique 'T1112: Modify Registry' were: 'C0002: Night Dragon', 'C0006: Operation Honeybee', 'C0014: Operation Wocao', 'C0028: 2015 Ukraine Electric Power Attack'"
1.0590390538760082e+218,What campaigns used attack technique 'T1040: Network Sniffing'?,The campaigns that used attack technique 'T1040: Network Sniffing' were: 'C0028: 2015 Ukraine Electric Power Attack'
6.331050439418027e+180,What campaigns used attack technique 'T1055: Process Injection'?,"The campaigns that used attack technique 'T1055: Process Injection' were: 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0028: 2015 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
9.898036149425746e+164,What campaigns used attack technique 'T1018: Remote System Discovery'?,"The campaigns that used attack technique 'T1018: Remote System Discovery' were: 'C0007: FunnyDream', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0015: C0015', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack'"
2.060653455122836e-115,What campaigns used attack technique 'T1218.011: Rundll32'?,"The campaigns that used attack technique 'T1218.011: Rundll32' were: 'C0005: Operation Spalax', 'C0015: C0015', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack'"
2.6626301756391224e-61,What campaigns used attack technique 'T1566.001: Spearphishing Attachment'?,"The campaigns that used attack technique 'T1566.001: Spearphishing Attachment' were: 'C0001: Frankenstein', 'C0005: Operation Spalax', 'C0011: C0011', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0022: Operation Dream Job', 'C0028: 2015 Ukraine Electric Power Attack'"
2.1136798372709053e+257,What campaigns used attack technique 'T1078: Valid Accounts'?,"The campaigns that used attack technique 'T1078: Valid Accounts' were: 'C0002: Night Dragon', 'C0014: Operation Wocao', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack', 'C0032: C0032'"
1.3899781896621274e+218,What campaigns used attack technique 'T1059.005: Visual Basic'?,"The campaigns that used attack technique 'T1059.005: Visual Basic' were: 'C0001: Frankenstein', 'C0006: Operation Honeybee', 'C0007: FunnyDream', 'C0011: C0011', 'C0012: Operation CuckooBees', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0015: C0015', 'C0016: Operation Dust Storm', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0028: 2015 Ukraine Electric Power Attack'"
9.898036149421935e+164,What campaigns used attack technique 'T1071.001: Web Protocols'?,"The campaigns that used attack technique 'T1071.001: Web Protocols' were: 'C0001: Frankenstein', 'C0002: Night Dragon', 'C0012: Operation CuckooBees', 'C0014: Operation Wocao', 'C0017: C0017', 'C0018: C0018', 'C0021: C0021', 'C0022: Operation Dream Job', 'C0024: SolarWinds Compromise', 'C0028: 2015 Ukraine Electric Power Attack'"
1.572067556554068e-118,What campaigns used attack technique 'T1098: Account Manipulation'?,The campaigns that used attack technique 'T1098: Account Manipulation' were: 'C0025: 2016 Ukraine Electric Power Attack'
2.6626301756391224e-61,What campaigns used attack technique 'T1110: Brute Force'?,"The campaigns that used attack technique 'T1110: Brute Force' were: 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'"
6.127434859858505e-154,What campaigns used attack technique 'T1554: Compromise Host Software Binary'?,"The campaigns that used attack technique 'T1554: Compromise Host Software Binary' were: 'C0025: 2016 Ukraine Electric Power Attack', 'C0029: Cutting Edge'"
1.9745488607758842e-153,What campaigns used attack technique 'T1136: Create Account'?,The campaigns that used attack technique 'T1136: Create Account' were: 'C0025: 2016 Ukraine Electric Power Attack'
2.6626301756391224e-61,What campaigns used attack technique 'T1562.002: Disable Windows Event Logging'?,"The campaigns that used attack technique 'T1562.002: Disable Windows Event Logging' were: 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack'"
1.6966408513366928e-152,What campaigns used attack technique 'T1003.001: LSASS Memory'?,"The campaigns that used attack technique 'T1003.001: LSASS Memory' were: 'C0014: Operation Wocao', 'C0025: 2016 Ukraine Electric Power Attack', 'C0029: Cutting Edge', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032'"
1.4299573423690313e+228,What campaigns used attack technique 'T1036.008: Masquerade File Type'?,"The campaigns that used attack technique 'T1036.008: Masquerade File Type' were: 'C0022: Operation Dream Job', 'C0025: 2016 Ukraine Electric Power Attack'"
1.2654803863640217e-118,What campaigns used attack technique 'T1036.005: Match Legitimate Name or Location'?,"The campaigns that used attack technique 'T1036.005: Match Legitimate Name or Location' were: 'C0006: Operation Honeybee', 'C0012: Operation CuckooBees', 'C0013: Operation Sharpshooter', 'C0014: Operation Wocao', 'C0017: C0017', 'C0018: C0018', 'C0024: SolarWinds Compromise', 'C0025: 2016 Ukraine Electric Power Attack', 'C0030: Triton Safety Instrumented System Attack', 'C0032: C0032'"
